"CARGO";QUANTITATIVO_SERVIDOR
"AGENTE DE POLICIA FEDERAL";6915
"ESCRIVAO DE POLICIA FEDERAL";2306
"DELEGADO DE POLICIA FEDERAL";1904
"AGENTE ADMINISTRATIVO";1553
"CARGO NÃO INFORMADO";1419
"PERITO CRIMINAL FEDERAL";1148
"PAPILOSCOPISTA POLICIAL FEDERAL";556
"AGENTE DE TELECOM E ELETRICIDADE";91
"AGENTE DE VIGILANCIA";51
"NÃO INFORMADO";51
"MOTORISTA OFICIAL";50
"TECNICO CONTABILIDADE";46
"DATILOGRAFO";38
"MEDICO";35
"ADMINISTRADOR";35
"AGENTE DE PORTARIA";30
"AUX OPERACIONAL SERVIÇOS DIVERSOS";23
"TECNICO EM ASSUNTOS EDUCACIONAIS";22
"ASSISTENTE SOCIAL";20
"AUXILIAR DE ENFERMAGEM";16
"ENGENHEIRO";14
"PSICOLOGO";11
"ADMIN EGP";10
"CONTADOR";8
"ARTÍFICE DE ELETRIC E COMUNICAÇÕES";7
"ARTIFICE DE MECANICA";5
"AUXILIAR OPERAC SERV DIVERSOS";5
"ARTIF DE EST DE OBRAS E METALURGIA";5
"OPERADOR DE COMPUTADOR";4
"ESTATISTICO";4
"AGENTE FEDERAL DE EXECUÇÃO PENAL";4
"ENFERMEIRO";4
"ASSISTENTE ADMINISTRATIVO";3
"ARTIFICE DE ARTES GRAFICAS";3
"DESENHISTA";3
"ARQUITETO";3
"TELEFONISTA 30 HORAS";3
"TECNICO NIVEL MEDIO";3
"AUXILIAR ADMINISTRATIVO";3
"ODONTOLOGO";3
"TELEFONISTA";2
"MEDICO VETERINARIO";2
"AUXILIAR EM ASSUNTOS EDUCACIONAIS";2
"BIBLIOTECARIO";2
"ARQUIVISTA";2
"TECNICO DE LABORATORIO";2
"ARTIFICE";2
"PROFISSIONAL DE SERVIÇO AEROPORTUÁRIO - INFRAERO";2
"ESPECIALISTA EM POLITICAS PUBLICAS E GESTAO GOVERNAMENTAL";1
"AUXILIAR DE SERVICOS GERAIS";1
"ASSISTENTE DE ADMINISTRAÇÃO";1
"ENGENHEIRO ELETRICO                ";1
"TECNICO EM COMUNICACAO SOCIAL";1
"PERFURADOR DIGITADOR";1
"AGENTE DE CINEFOTO E MICROFILMAGEM";1
"PROGRAMADOR";1
"AGENTE DE COMUNICACAO SOCIAL";1
"ESCRITURARIO";1
"DIGITADOR";1
"AGENTE DE MECANIZACAO DE APOIO";1
"RADIOTELEGRAFISTA";1
